 ,Angle,Length
1,-90,431.564
2,-90,418.745
3,-90,452.929
4,-90,435.837
5,-90,424.279
6,-90,443.564
7,-90,430.707
8,-90,462.850
9,-90,453.207
10,-90,445.398
11,-90,451.761
12,-90,448.579
13,-90,477.212
14,-90,551.734
15,-90,506.826
16,-90,490.787
17,-90,468.333
18,-90,458.709
