 ,Angle,Length
1,-90,389.496
2,-90,392.059
3,-90,392.059
4,-90,386.934
5,-90,389.496
6,-90,384.681
7,-90,389.776
8,-90,382.134
9,-90,389.776
10,-90,379.586
11,-90,369.396
12,-90,378.628
13,-90,381.169
14,-90,378.628
15,-90,381.169
16,-90,388.792
