 ,Angle,Length
1,-105.046,300.916
2,-108.838,280.634
3,-112.145,290.129
4,-119.291,293.791
5,-121.608,286.181
6,-115.769,301.872
7,-111.915,293.025
8,-110.283,306.478
9,-97.052,305.409
10,-98.383,300.055
11,-94.399,285.190
12,-93.691,291.204
13,-89.433,315.613
14,-108.687,224.307
15,-103.861,247.820
16,-105.195,262.272
17,-108.435,306.319
18,-106.809,313.362
