 ,Angle,Length
1,-100.214,351.108
2,-98.746,327.562
3,-101.725,337.011
4,-89.004,358.050
5,-95.763,341.041
6,-98.351,342.954
7,-102.588,328.537
8,-100.685,335.801
9,-98.059,355.279
10,-102.995,332.262
11,-103.151,342.063
12,-99.978,341.368
13,-100.037,357.237
14,-92.806,317.908
15,-95.886,303.562
16,-94.946,324.963
17,-94.554,352.884
18,-97.431,361.028
