 ,Angle,Length
1,-90.326,412.694
2,-90.000,300.136
3,-90.000,589.256
4,-90.000,540.422
5,-90.000,426.478
6,-90.000,646.796
7,-90.000,604.342
8,-90.000,546.905
9,-90.000,471.986
10,-90.000,646.223
11,-90.000,613.787
12,-90.000,556.400
13,-90.000,461.588
