 ,Angle,Length
1,-114.687,290.689
2,-112.813,291.157
3,-105.890,303.404
4,-110.746,300.655
5,-108.687,305.802
6,-106.777,302.558
7,-111.650,300.210
8,-118.775,296.469
9,-114.476,313.603
10,-111.354,304.173
11,-93.158,309.320
12,-102.841,297.111
13,-103.841,302.730
14,-92.842,300.700
15,-91.273,287.621
16,-91.264,289.751
