 ,Angle,Length
1,90,519.975
2,-90,564.156
3,-90,550.562
4,-90,516.577
5,-90,496.185
6,-90,528.667
7,-90,548.903
8,-90,584.316
9,-90,538.785
10,-90,503.372
11,-90,490.724
12,-90,527.024
13,-90,483.950
14,-90,478.882
15,-90,511.821
16,-90,478.882
